town          crime biglots industry river nox rooms age distance highway tax ptratio black lowstat value 	  
Lynn          .77299  0.0  8.14 0 .5380 6.495 94.4 4.4547  4 307 21.0 387.94 12.8 18.4
Lynn          1.0025  0.0  8.14 0 .5380 6.674 87.3 4.2390  4 307 21.0 380.23 12.0 21.0
Lynn          1.1308  0.0  8.14 0 .5380 5.713 94.1 4.2330  4 307 21.0 360.17 22.6 12.7
Lynn          1.3547  0.0  8.14 0 .5380 6.072  100 4.1750  4 307 21.0 376.73 13.0 14.5
Lynn          1.3880  0.0  8.14 0 .5380 5.950 82.0 3.9900  4 307 21.0 232.60 27.7 13.2
Lynn          1.1517  0.0  8.14 0 .5380 5.701 95.0 3.7872  4 307 21.0 358.77 18.4 13.1
Lynn          1.6128  0.0  8.14 0 .5380 6.096 96.9 3.7598  4 307 21.0 248.31 20.3 13.5
Saugus        .06417  0.0  5.96 0 .4990 5.933 68.2 3.3603  5 279 19.2 396.90  9.7 18.9
Saugus        .09744  0.0  5.96 0 .4990 5.841 61.4 3.3779  5 279 19.2 377.56 11.4 20.0
Saugus        .08014  0.0  5.96 0 .4990 5.850 41.5 3.9342  5 279 19.2 396.90  8.8 21.0
Saugus        .17505  0.0  5.96 0 .4990 5.966 30.2 3.8473  5 279 19.2 393.43 10.1 24.7
Lynnfield     .02763 75.0  2.95 0 .4280 6.595 21.8 5.4011  3 252 18.3 395.63  4.3 30.8
Lynnfield     .03359 75.0  2.95 0 .4280 7.024 15.8 5.4011  3 252 18.3 395.62  2.0 34.9
Peabody       .12744  0.0  6.91 0 .4480 6.770  2.9 5.7209  3 233 17.9 385.41  4.8 26.6
Peabody       .14150  0.0  6.91 0 .4480 6.169  6.6 5.7209  3 233 17.9 383.37  5.8 25.3
Peabody       .15936  0.0  6.91 0 .4480 6.211  6.5 5.7209  3 233 17.9 394.46  7.4 24.7
Peabody       .12269  0.0  6.91 0 .4480 6.069 40.0 5.7209  3 233 17.9 389.39  9.6 21.2
Peabody       .17142  0.0  6.91 0 .4480 5.682 33.8 5.1004  3 233 17.9 396.90 10.2 19.3
Peabody       .18836  0.0  6.91 0 .4480 5.786 33.3 5.1004  3 233 17.9 396.90 14.2 20.0
Peabody       .22927  0.0  6.91 0 .4480 6.030 85.5 5.6894  3 233 17.9 392.74 18.8 16.6
Peabody       .25387  0.0  6.91 0 .4480 5.399 95.3 5.8700  3 233 17.9 396.90 30.8 14.4
Peabody       .21977  0.0  6.91 0 .4480 5.602 62.0 6.0877  3 233 17.9 396.90 16.2 19.4
Danvers       .08873 21.0  5.64 0 .4390 5.963 45.7 6.8147  4 243 16.8 395.56 13.5 19.7
Danvers       .04337 21.0  5.64 0 .4390 6.115 63.0 6.8147  4 243 16.8 393.97  9.4 20.5
Danvers       .05360 21.0  5.64 0 .4390 6.511 21.1 6.8147  4 243 16.8 396.90  5.3 25.0
Danvers       .04981 21.0  5.64 0 .4390 5.998 21.4 6.8147  4 243 16.8 396.90  8.4 23.4
Middleton     .01360 75.0  4.00 0 .4100 5.888 47.6 7.3197  3 469 21.1 396.90 14.8 18.9
Topsfield     .01311 90.0  1.22 0 .4030 7.249 21.9 8.6966  5 226 17.9 395.93  4.8 35.4
Hamilton      .02055 85.0  0.74 0 .4100 6.383 35.7 9.1876  2 313 17.3 396.90  5.8 24.7
Wenham        .01432  100  1.32 0 .4110 6.816 40.5 8.3248  5 256 15.1 392.90  4.0 31.6
Beverly       .15445 25.0  5.13 0 .4530 6.145 29.2 7.8148  8 284 19.7 390.68  6.9 23.3
Beverly       .10328 25.0  5.13 0 .4530 5.927 47.2 6.9320  8 284 19.7 396.90  9.2 19.6
Beverly       .14932 25.0  5.13 0 .4530 5.741 66.2 7.2254  8 284 19.7 395.11 13.2 18.7
Beverly       .17171 25.0  5.13 0 .4530 5.966 93.4 6.8185  8 284 19.7 378.08 14.4 16.0
Beverly       .11027 25.0  5.13 0 .4530 6.456 67.8 7.2255  8 284 19.7 396.90  6.7 22.2
Beverly       .12650 25.0  5.13 0 .4530 6.762 43.4 7.9809  8 284 19.7 395.58  9.5 25.0
Manchester    .01951 17.5  1.38 0 .4161 7.104 59.5 9.2229  3 216 18.6 393.24  8.1 33.0
North-Reading .03584 80.0  3.37 0 .3980 6.290 17.8 6.6115  4 337 16.1 396.90  4.7 23.5
North-Reading .04379 80.0  3.37 0 .3980 5.787 31.1 6.6115  4 337 16.1 396.90 10.2 19.4
Wilmington    .05789 12.5  6.07 0 .4090 5.878 21.4 6.4980  4 345 18.9 396.21  8.1 22.0
Wilmington    .13554 12.5  6.07 0 .4090 5.594 36.8 6.4980  4 345 18.9 396.90 13.1 17.4
Wilmington    .12816 12.5  6.07 0 .4090 5.885 33.0 6.4980  4 345 18.9 396.90  8.8 20.9
Burlington    .08826  0.0 10.81 0 .4130 6.417  6.6 5.2873  4 305 19.2 383.73  6.7 24.2
Burlington    .15876  0.0 10.81 0 .4130 5.961 17.5 5.2873  4 305 19.2 376.94  9.9 21.7
Burlington    .09164  0.0 10.81 0 .4130 6.065  7.8 5.2873  4 305 19.2 390.91  5.5 22.8
Burlington    .19539  0.0 10.81 0 .4130 6.245  6.2 5.2873  4 305 19.2 377.17  7.5 23.4
Woburn        .07896  0.0 12.83 0 .4370 6.273  6.0 4.2515  5 398 18.7 394.92  6.8 24.1
Woburn        .09512  0.0 12.83 0 .4370 6.286 45.0 4.5026  5 398 18.7 383.23  8.9 21.4
Woburn        .10153  0.0 12.83 0 .4370 6.279 74.5 4.0522  5 398 18.7 373.66 12.0 20.0
Woburn        .08707  0.0 12.83 0 .4370 6.140 45.8 4.0905  5 398 18.7 386.96 10.3 20.8
Woburn        .05646  0.0 12.83 0 .4370 6.232 53.7 5.0141  5 398 18.7 386.40 12.3 21.2
Woburn        .08387  0.0 12.83 0 .4370 5.874 36.6 4.5026  5 398 18.7 396.06  9.1 20.3
Reading       .04113 25.0  4.86 0 .4260 6.727 33.5 5.4007  4 281 19.0 396.90  5.3 28.0
Reading       .04462 25.0  4.86 0 .4260 6.619 70.4 5.4007  4 281 19.0 395.63  7.2 23.9
Reading       .03659 25.0  4.86 0 .4260 6.302 32.2 5.4007  4 281 19.0 396.90  6.7 24.8
Reading       .03551 25.0  4.86 0 .4260 6.167 46.7 5.4007  4 281 19.0 390.64  7.5 22.9
Wakefield     .05059  0.0  4.49 0 .4490 6.389 48.0 4.7794  3 247 18.5 396.90  9.6 23.9
Wakefield     .05735  0.0  4.49 0 .4490 6.630 56.1 4.4377  3 247 18.5 392.30  6.5 26.6
Wakefield     .05188  0.0  4.49 0 .4490 6.015 45.1 4.4272  3 247 18.5 395.99 12.9 22.5
Wakefield     .07151  0.0  4.49 0 .4490 6.121 56.8 3.7476  3 247 18.5 395.15  8.4 22.2
Melrose       .05660  0.0  3.41 0 .4890 7.007 86.3 3.4217  2 270 17.8 396.90  5.5 23.6
Melrose       .05302  0.0  3.41 0 .4890 7.079 63.1 3.4145  2 270 17.8 396.06  5.7 28.7
Melrose       .04684  0.0  3.41 0 .4890 6.417 66.1 3.0923  2 270 17.8 392.18  8.8 22.6
Melrose       .03932  0.0  3.41 0 .4890 6.405 73.9 3.0921  2 270 17.8 393.55  8.2 22.0
Stoneham      .04203 28.0 15.04 0 .4640 6.442 53.6 3.6659  4 270 18.2 395.01  8.2 22.9
Stoneham      .02875 28.0 15.04 0 .4640 6.211 28.9 3.6659  4 270 18.2 396.33  6.2 25.0
Stoneham      .04294 28.0 15.04 0 .4640 6.249 77.3 3.6150  4 270 18.2 396.90 10.6 20.6
Winchester    .12204  0.0  2.89 0 .4450 6.625 57.8 3.4952  2 276 18.0 357.98  6.7 28.4
Winchester    .11504  0.0  2.89 0 .4450 6.163 69.6 3.4952  2 276 18.0 391.83 11.3 21.4
Winchester    .12083  0.0  2.89 0 .4450 8.069 76.0 3.4952  2 276 18.0 396.90  4.2 38.7
Winchester    .08187  0.0  2.89 0 .4450 7.820 36.9 3.4952  2 276 18.0 393.53  3.6 43.8
Winchester    .06860  0.0  2.89 0 .4450 7.416 62.5 3.4952  2 276 18.0 396.90  6.2 33.2
Medford       .14866  0.0  8.56 0 .5200 6.727 79.9 2.7778  5 384 20.9 394.76  9.4 27.5
Medford       .11432  0.0  8.56 0 .5200 6.781 71.3 2.8561  5 384 20.9 395.58  7.7 26.5
Medford       .22876  0.0  8.56 0 .5200 6.405 85.4 2.7147  5 384 20.9  70.80 10.6 18.6
Medford       .21161  0.0  8.56 0 .5200 6.137 87.4 2.7147  5 384 20.9 394.47 13.4 19.3
Medford       .13960  0.0  8.56 0 .5200 6.167 90.0 2.4210  5 384 20.9 392.69 12.3 20.1
Medford       .13262  0.0  8.56 0 .5200 5.851 96.7 2.1069  5 384 20.9 394.05 16.5 19.5
Medford       .17120  0.0  8.56 0 .5200 5.836 91.9 2.2110  5 384 20.9 395.67 18.7 19.5
Medford       .13117  0.0  8.56 0 .5200 6.127 85.2 2.1224  5 384 20.9 387.69 14.1 20.4
Medford       .12802  0.0  8.56 0 .5200 6.474 97.1 2.4329  5 384 20.9 395.24 12.3 19.8
Medford       .26363  0.0  8.56 0 .5200 6.229 91.2 2.5451  5 384 20.9 391.23 15.6 19.4
Medford       .10793  0.0  8.56 0 .5200 6.195 54.4 2.7778  5 384 20.9 393.49 13.0 21.7
Malden        .10084  0.0 10.01 0 .5470 6.715 81.6 2.6775  6 432 17.8 395.59 10.2 22.8
Malden        .12329  0.0 10.01 0 .5470 5.913 92.9 2.3534  6 432 17.8 394.95 16.2 18.8
Malden        .22212  0.0 10.01 0 .5470 6.092 95.4 2.5480  6 432 17.8 396.90 17.1 18.7
Malden        .14231  0.0 10.01 0 .5470 6.254 84.2 2.2565  6 432 17.8 388.74 10.5 18.5
Malden        .17134  0.0 10.01 0 .5470 5.928 88.2 2.4631  6 432 17.8 344.91 15.8 18.3
Malden        .13158  0.0 10.01 0 .5470 6.176 72.5 2.7301  6 432 17.8 393.30 12.0 21.2
Malden        .15098  0.0 10.01 0 .5470 6.021 82.6 2.7474  6 432 17.8 394.51 10.3 19.2
Malden        .13058  0.0 10.01 0 .5470 5.872 73.1 2.4775  6 432 17.8 338.63 15.4 20.4
Malden        .14476  0.0 10.01 0 .5470 5.731 65.2 2.7592  6 432 17.8 391.50 13.6 19.3
Everett       .06899  0.0 25.65 0 .5810 5.870 69.7 2.2577  2 188 19.1 389.15 14.4 22.0
Everett       .07165  0.0 25.65 0 .5810 6.004 84.1 2.1974  2 188 19.1 377.67 14.3 20.3
Everett       .09299  0.0 25.65 0 .5810 5.961 92.9 2.0869  2 188 19.1 378.09 17.9 20.5
Everett       .15038  0.0 25.65 0 .5810 5.856 97.0 1.9444  2 188 19.1 370.31 25.4 17.3
Everett       .09849  0.0 25.65 0 .5810 5.879 95.8 2.0063  2 188 19.1 379.38 17.6 18.8
Everett       .16902  0.0 25.65 0 .5810 5.986 88.4 1.9929  2 188 19.1 385.02 14.8 21.4
Everett       .38735  0.0 25.65 0 .5810 5.613 95.6 1.7572  2 188 19.1 359.29 27.3 15.7
Somerville    .25915  0.0 21.89 0 .6240 5.693 96.0 1.7883  4 437 21.2 392.11 17.2 16.2
Somerville    .32543  0.0 21.89 0 .6240 6.431 98.8 1.8125  4 437 21.2 396.90 15.4 18.0
Somerville    .88125  0.0 21.89 0 .6240 5.637 94.7 1.9799  4 437 21.2 396.90 18.3 14.3
Somerville    .34006  0.0 21.89 0 .6240 6.458 98.9 2.1185  4 437 21.2 395.04 12.6 19.2
Somerville    1.1929  0.0 21.89 0 .6240 6.326 97.7 2.2710  4 437 21.2 396.90 12.3 19.6
Somerville    .59005  0.0 21.89 0 .6240 6.372 97.9 2.3274  4 437 21.2 385.76 11.1 23.0
Somerville    .32982  0.0 21.89 0 .6240 5.822 95.4 2.4699  4 437 21.2 388.69 15.0 18.4
Somerville    .97617  0.0 21.89 0 .6240 5.757 98.4 2.3460  4 437 21.2 262.76 17.3 15.6
Somerville    .55778  0.0 21.89 0 .6240 6.335 98.2 2.1107  4 437 21.2 394.67 17.0 18.1
Somerville    .32264  0.0 21.89 0 .6240 5.942 93.5 1.9669  4 437 21.2 378.25 16.9 17.4
Somerville    .35233  0.0 21.89 0 .6240 6.454 98.4 1.8498  4 437 21.2 394.08 14.6 17.1
Somerville    .24980  0.0 21.89 0 .6240 5.857 98.2 1.6686  4 437 21.2 392.04 21.3 13.3
Somerville    .54452  0.0 21.89 0 .6240 6.151 97.9 1.6687  4 437 21.2 396.90 18.5 17.8
Somerville    .29090  0.0 21.89 0 .6240 6.174 93.6 1.6119  4 437 21.2 388.08 24.2 14.0
Somerville    1.6286  0.0 21.89 0 .6240 5.019  100 1.4394  4 437 21.2 396.90 34.4 14.4
Cambridge     3.3211  0.0 19.58 1 .8710 5.403  100 1.3216  5 403 14.7 396.90 26.8 13.4
Cambridge     4.0974  0.0 19.58 0 .8710 5.468  100 1.4118  5 403 14.7 396.90 26.4 15.6
Cambridge     2.7797  0.0 19.58 0 .8710 4.903 97.8 1.3459  5 403 14.7 396.90 29.3 11.8
Cambridge     2.3793  0.0 19.58 0 .8710 6.130  100 1.4191  5 403 14.7 172.91 27.8 13.8
Cambridge     2.1551  0.0 19.58 0 .8710 5.628  100 1.5166  5 403 14.7 169.27 16.7 15.6
Cambridge     2.3686  0.0 19.58 0 .8710 4.926 95.7 1.4608  5 403 14.7 391.71 29.5 14.6
Cambridge     2.3310  0.0 19.58 0 .8710 5.186 93.8 1.5296  5 403 14.7 356.99 28.3 17.8
Cambridge     2.7340  0.0 19.58 0 .8710 5.597 94.9 1.5257  5 403 14.7 351.85 21.5 15.4
Cambridge     1.6566  0.0 19.58 0 .8710 6.122 97.3 1.6180  5 403 14.7 372.80 14.1 21.5
Cambridge     1.4963  0.0 19.58 0 .8710 5.404  100 1.5916  5 403 14.7 341.60 13.3 19.6
Cambridge     1.1266  0.0 19.58 1 .8710 5.012 88.0 1.6102  5 403 14.7 343.28 12.1 15.3
Cambridge     2.1492  0.0 19.58 0 .8710 5.709 98.5 1.6232  5 403 14.7 261.95 15.8 19.4
Cambridge     1.4139  0.0 19.58 1 .8710 6.129 96.0 1.7494  5 403 14.7 321.02 15.1 17.0
Cambridge     3.5350  0.0 19.58 1 .8710 6.152 82.6 1.7455  5 403 14.7  88.01 15.0 15.6
Cambridge     2.4467  0.0 19.58 0 .8710 5.272 94.0 1.7364  5 403 14.7  88.63 16.1 13.1
Cambridge     1.2236  0.0 19.58 0 .6050 6.943 97.4 1.8773  5 403 14.7 363.43  4.6 41.3
Cambridge     1.3428  0.0 19.58 0 .6050 6.066  100 1.7573  5 403 14.7 353.89  6.4 24.3
Cambridge     1.4250  0.0 19.58 0 .8710 6.510  100 1.7659  5 403 14.7 364.31  7.4 23.3
Cambridge     1.2735  0.0 19.58 1 .6050 6.250 92.6 1.7984  5 403 14.7 338.92  5.5 27.0
Cambridge     1.4634  0.0 19.58 0 .6050 7.489 90.8 1.9709  5 403 14.7 374.43  1.7 50.0
Cambridge     1.8338  0.0 19.58 1 .6050 7.802 98.2 2.0407  5 403 14.7 389.61  1.9 50.0
Cambridge     1.5190  0.0 19.58 1 .6050 8.375 93.9 2.1620  5 403 14.7 388.45  3.3 50.0
Cambridge     2.2424  0.0 19.58 0 .6050 5.854 91.8 2.4220  5 403 14.7 395.11 11.6 22.7
Cambridge     2.9240  0.0 19.58 0 .6050 6.101 93.0 2.2834  5 403 14.7 240.16  9.8 25.0
Cambridge     2.0102  0.0 19.58 0 .6050 7.929 96.2 2.0459  5 403 14.7 369.30  3.7 50.0
Cambridge     1.8003  0.0 19.58 0 .6050 5.877 79.2 2.4259  5 403 14.7 227.61 12.1 23.8
Cambridge     2.3004  0.0 19.58 0 .6050 6.319 96.1 2.1000  5 403 14.7 297.09 11.1 23.8
Cambridge     2.4495  0.0 19.58 0 .6050 6.402 95.2 2.2625  5 403 14.7 330.04 11.3 22.3
Cambridge     1.2074  0.0 19.58 0 .6050 5.875 94.6 2.4259  5 403 14.7 292.29 14.4 17.4
Cambridge     2.3139  0.0 19.58 0 .6050 5.880 97.3 2.3887  5 403 14.7 348.13 12.0 19.1
Arlington     .13914  0.0  4.05 0 .5100 5.572 88.5 2.5961  5 296 16.6 396.90 14.7 23.1
Arlington     .09178  0.0  4.05 0 .5100 6.416 84.1 2.6463  5 296 16.6 395.50  9.0 23.6
Arlington     .08447  0.0  4.05 0 .5100 5.859 68.7 2.7019  5 296 16.6 393.23  9.6 22.6
Arlington     .06664  0.0  4.05 0 .5100 6.546 33.1 3.1323  5 296 16.6 390.96  5.3 29.4
Arlington     .07022  0.0  4.05 0 .5100 6.020 47.2 3.5549  5 296 16.6 393.23 10.1 23.2
Arlington     .05425  0.0  4.05 0 .5100 6.315 73.4 3.3175  5 296 16.6 395.60  6.3 24.6
Arlington     .06642  0.0  4.05 0 .5100 6.860 74.4 2.9153  5 296 16.6 391.27  6.9 29.9
Belmont       .05780  0.0  2.46 0 .4880 6.980 58.4 2.8290  3 193 17.8 396.90  5.0 37.2
Belmont       .06588  0.0  2.46 0 .4880 7.765 83.3 2.7410  3 193 17.8 395.56  7.6 39.8
Belmont       .06888  0.0  2.46 0 .4880 6.144 62.2 2.5979  3 193 17.8 396.90  9.5 36.2
Belmont       .09103  0.0  2.46 0 .4880 7.155 92.2 2.7006  3 193 17.8 394.12  4.8 37.9
Belmont       .10008  0.0  2.46 0 .4880 6.563 95.6 2.8470  3 193 17.8 396.90  5.7 32.5
Belmont       .08308  0.0  2.46 0 .4880 5.604 89.8 2.9879  3 193 17.8 391.00 14.0 26.4
Belmont       .06047  0.0  2.46 0 .4880 6.153 68.8 3.2797  3 193 17.8 387.11 13.2 29.6
Belmont       .05602  0.0  2.46 0 .4880 7.831 53.6 3.1992  3 193 17.8 392.63  4.5 50.0
Lexington     .07875 45.0  3.44 0 .4370 6.782 41.1 3.7886  5 398 15.2 393.87  6.7 32.0
Lexington     .12579 45.0  3.44 0 .4370 6.556 29.1 4.5667  5 398 15.2 382.84  4.6 29.8
Lexington     .08370 45.0  3.44 0 .4370 7.185 38.9 4.5667  5 398 15.2 396.90  5.4 34.9
Lexington     .09068 45.0  3.44 0 .4370 6.951 21.5 6.4798  5 398 15.2 377.68  5.1 37.0
Lexington     .06911 45.0  3.44 0 .4370 6.739 30.8 6.4798  5 398 15.2 389.71  4.7 30.5
Lexington     .08664 45.0  3.44 0 .4370 7.178 26.3 6.4798  5 398 15.2 390.49  2.9 36.4
Bedford       .02187 60.0  2.93 0 .4010 6.800  9.9 6.2196  1 265 15.6 393.37  5.0 31.1
Bedford       .01439 60.0  2.93 0 .4010 6.604 18.8 6.2196  1 265 15.6 376.70  4.4 29.1
Lincoln       .01381 80.0  0.46 0 .4220 7.875 32.0 5.6484  4 255 14.4 394.23  3.0 50.0
Concord       .04011 80.0  1.52 0 .4040 7.287 34.1 7.3090  2 329 12.6 396.90  4.1 33.3
Concord       .04666 80.0  1.52 0 .4040 7.107 36.6 7.3090  2 329 12.6 354.31  8.6 30.3
Concord       .03768 80.0  1.52 0 .4040 7.274 38.3 7.3090  2 329 12.6 392.20  6.6 34.6
Sudbury       .03150 95.0  1.47 0 .4030 6.975 15.3 7.6534  3 402 17.0 396.90  4.6 34.9
Sudbury       .01778 95.0  1.47 0 .4030 7.135 13.9 7.6534  3 402 17.0 384.30  4.5 32.9
Wayland       .03445 82.5  2.03 0 .4150 6.162 38.4 6.2700  2 348 14.7 393.77  7.4 24.1
Wayland       .02177 82.5  2.03 0 .4150 7.610 15.7 6.2700  2 348 14.7 395.38  3.1 42.3
Weston        .03510 95.0  2.68 0 .4161 7.853 33.2 5.1180  4 224 14.7 392.78  3.8 48.5
Weston        .02009 95.0  2.68 0 .4161 8.034 31.9 5.1180  4 224 14.7 390.55  2.9 50.0
Waltham       .13642  0.0 10.59 0 .4890 5.891 22.3 3.9454  4 277 18.6 396.90 10.9 22.6
Waltham       .22969  0.0 10.59 0 .4890 6.326 52.5 4.3549  4 277 18.6 394.87 11.0 24.4
Waltham       .25199  0.0 10.59 0 .4890 5.783 72.7 4.3549  4 277 18.6 389.43 18.1 22.5
Waltham       .13587  0.0 10.59 1 .4890 6.064 59.1 4.2392  4 277 18.6 381.32 14.7 24.4
Waltham       .43571  0.0 10.59 1 .4890 5.344  100 3.8750  4 277 18.6 396.90 23.1 20.0
Waltham       .17446  0.0 10.59 1 .4890 5.960 92.1 3.8771  4 277 18.6 393.25 17.3 21.7
Waltham       .37578  0.0 10.59 1 .4890 5.404 88.6 3.6650  4 277 18.6 395.24 24.0 19.3
Waltham       .21719  0.0 10.59 1 .4890 5.807 53.8 3.6526  4 277 18.6 390.94 16.0 22.4
Waltham       .14052  0.0 10.59 0 .4890 6.375 32.3 3.9454  4 277 18.6 385.81  9.4 28.1
Waltham       .28955  0.0 10.59 0 .4890 5.412  9.8 3.5875  4 277 18.6 348.93 29.6 23.7
Waltham       .19802  0.0 10.59 0 .4890 6.182 42.4 3.9454  4 277 18.6 393.63  9.5 25.0
Watertown     .04560  0.0 13.89 1 .5500 5.888 56.0 3.1121  5 276 16.4 392.80 13.5 23.3
Watertown     .07013  0.0 13.89 0 .5500 6.642 85.1 3.4211  5 276 16.4 392.78  9.7 28.7
Watertown     .11069  0.0 13.89 1 .5500 5.951 93.8 2.8893  5 276 16.4 396.90 17.9 21.5
Watertown     .11425  0.0 13.89 1 .5500 6.373 92.4 3.3633  5 276 16.4 393.74 10.5 23.0
Newton        .35809  0.0  6.20 1 .5070 6.951 88.5 2.8617  8 307 17.4 391.70  9.7 26.7
Newton        .40771  0.0  6.20 1 .5070 6.164 91.3 3.0480  8 307 17.4 395.24 21.5 21.7
Newton        .62356  0.0  6.20 1 .5070 6.879 77.7 3.2721  8 307 17.4 390.39  9.9 27.5
Newton        .61470  0.0  6.20 0 .5070 6.618 80.8 3.2721  8 307 17.4 396.90  7.6 30.1
Newton        .31533  0.0  6.20 0 .5040 8.266 78.3 2.8944  8 307 17.4 385.05  4.1 44.8
Newton        .52693  0.0  6.20 0 .5040 8.725 83.0 2.8944  8 307 17.4 382.00  4.6 50.0
Newton        .38214  0.0  6.20 0 .5040 8.040 86.5 3.2157  8 307 17.4 387.38  3.1 37.6
Newton        .41238  0.0  6.20 0 .5040 7.163 79.9 3.2157  8 307 17.4 372.08  6.4 31.6
Newton        .29819  0.0  6.20 0 .5040 7.686 17.0 3.3751  8 307 17.4 377.51  3.9 46.7
Newton        .44178  0.0  6.20 0 .5040 6.552 21.4 3.3751  8 307 17.4 380.34  3.8 31.5
Newton        .53700  0.0  6.20 0 .5040 5.981 68.1 3.6715  8 307 17.4 378.35 11.7 24.3
Newton        .46296  0.0  6.20 0 .5040 7.412 76.9 3.6715  8 307 17.4 376.14  5.3 31.7
Newton        .57529  0.0  6.20 0 .5070 8.337 73.3 3.8384  8 307 17.4 385.91  2.5 41.7
Newton        .33147  0.0  6.20 0 .5070 8.247 70.4 3.6519  8 307 17.4 378.95  4.0 48.3
Newton        .44791  0.0  6.20 1 .5070 6.726 66.5 3.6519  8 307 17.4 360.20  8.1 29.0
Newton        .33045  0.0  6.20 0 .5070 6.086 61.5 3.6519  8 307 17.4 376.75 10.9 24.0
Newton        .52058  0.0  6.20 1 .5070 6.631 76.5 4.1480  8 307 17.4 388.45  9.5 25.1
Newton        .51183  0.0  6.20 0 .5070 7.358 71.6 4.1480  8 307 17.4 390.07  4.7 31.5
Natick        .08244 30.0  4.93 0 .4280 6.481 18.5 6.1899  6 300 16.6 379.41  6.4 23.7
Natick        .09252 30.0  4.93 0 .4280 6.606 42.2 6.1899  6 300 16.6 383.78  7.4 23.3
Natick        .11329 30.0  4.93 0 .4280 6.897 54.3 6.3361  6 300 16.6 391.25 11.4 22.0
Natick        .10612 30.0  4.93 0 .4280 6.095 65.1 6.3361  6 300 16.6 394.62 12.4 20.1
Natick        .10290 30.0  4.93 0 .4280 6.358 52.9 7.0355  6 300 16.6 372.75 11.2 22.2
Natick        .12757 30.0  4.93 0 .4280 6.393  7.8 7.0355  6 300 16.6 374.71  5.2 23.7
Framingham    .20608 22.0  5.86 0 .4310 5.593 76.5 7.9549  7 330 19.1 372.49 12.5 17.6
Framingham    .19133 22.0  5.86 0 .4310 5.605 70.2 7.9549  7 330 19.1 389.13 18.5 18.5
Framingham    .33983 22.0  5.86 0 .4310 6.108 34.9 8.0555  7 330 19.1 390.18  9.2 24.3
Framingham    .19657 22.0  5.86 0 .4310 6.226 79.2 8.0555  7 330 19.1 376.14 10.2 20.5
